,stations.num,dts,prcp
1,1,1/1/1973,0
2,1,1/2/1973,0
3,1,1/3/1973,0
4,1,1/4/1973,0
5,1,1/7/1973,0
6,1,1/8/1973,NA
7,1,1/9/1973,0
8,1,1/10/1973,0
9,1,1/11/1973,0
10,1,1/14/1973,0.04
11,1,1/15/1973,0
12,1,1/16/1973,0
13,1,1/17/1973,0
14,1,1/18/1973,0
15,1,1/21/1973,0
16,1,1/22/1973,0.12
17,1,1/23/1973,NA
18,1,1/24/1973,0
19,1,1/25/1973,NA
20,1,1/28/1973,0
21,1,1/29/1973,0
22,1,1/30/1973,0
23,1,1/31/1973,0
24,1,2/1/1973,0
25,1,2/4/1973,NA
26,1,2/5/1973,0
27,1,2/6/1973,0
28,1,2/7/1973,0.02
29,1,2/8/1973,0
30,1,2/11/1973,0.43
31,1,2/12/1973,0.08
32,1,2/13/1973,0
33,1,2/14/1973,0
34,1,2/15/1973,0
35,1,2/18/1973,0
36,1,2/19/1973,0
37,1,2/20/1973,0
38,1,2/21/1973,0
39,1,2/22/1973,NA
40,1,2/25/1973,NA
41,1,2/26/1973,0
42,1,2/27/1973,0
43,1,2/28/1973,0
44,1,3/1/1973,0.02
45,1,3/4/1973,0
46,1,3/5/1973,0
47,1,3/6/1973,0
48,1,3/7/1973,0
49,1,3/8/1973,0
50,1,3/11/1973,0
51,1,3/12/1973,0
52,1,3/13/1973,0
53,1,3/14/1973,0
54,1,3/15/1973,0
55,1,3/18/1973,0
56,1,3/19/1973,0
57,1,3/20/1973,0
58,1,3/21/1973,0
59,1,3/22/1973,0
60,1,3/25/1973,0
61,1,3/26/1973,NA
62,1,3/27/1973,0
63,1,3/28/1973,0
64,1,3/29/1973,0
65,1,4/1/1973,NA
66,1,4/2/1973,0.01
67,1,4/3/1973,0
68,1,4/4/1973,NA
69,1,4/5/1973,0
70,1,4/8/1973,0
71,1,4/9/1973,0
72,1,4/10/1973,0.04
73,1,4/11/1973,0.04
74,1,4/12/1973,NA
75,1,4/15/1973,0
76,1,4/16/1973,0
77,1,4/17/1973,NA
78,1,4/18/1973,0
79,1,4/23/1973,0
80,1,4/24/1973,0
81,1,4/25/1973,0
82,1,4/26/1973,0
83,1,4/30/1973,NA
84,1,5/1/1973,0
85,1,5/2/1973,0
86,1,5/3/1973,0
87,1,5/6/1973,0
88,1,5/7/1973,0.04
89,1,5/8/1973,0
90,1,5/9/1973,0.16
91,1,5/10/1973,NA
92,1,5/13/1973,0
93,1,5/14/1973,0
94,1,5/15/1973,0
95,1,5/16/1973,0
96,1,5/17/1973,0
97,1,5/20/1973,0.08
98,1,5/21/1973,0
99,1,5/22/1973,NA
100,1,5/23/1973,0.02
101,1,5/24/1973,0
102,1,5/27/1973,0
103,1,5/28/1973,NA
104,1,5/29/1973,0.01
105,1,5/31/1973,0
106,1,6/3/1973,0
107,1,6/4/1973,0
108,1,6/5/1973,0
109,1,6/6/1973,NA
110,1,6/11/1973,0
111,1,6/12/1973,0
112,1,6/13/1973,0
113,1,6/14/1973,0
114,1,6/17/1973,0
115,1,6/18/1973,0
116,1,6/19/1973,0
117,1,6/20/1973,0
118,1,6/21/1973,0
119,1,6/24/1973,0
120,1,6/25/1973,0
121,1,6/26/1973,0
122,1,6/27/1973,NA
123,1,6/28/1973,0
124,1,7/1/1973,0
125,1,7/2/1973,NA
126,1,7/3/1973,0
127,1,7/4/1973,0
128,1,7/5/1973,NA
129,1,7/11/1973,NA
130,1,7/12/1973,0
131,1,7/15/1973,0
132,1,7/16/1973,NA
133,1,7/17/1973,0
134,1,7/18/1973,NA
135,1,7/19/1973,NA
136,1,7/22/1973,0
137,1,7/23/1973,0
138,1,7/24/1973,0
139,1,7/25/1973,NA
140,1,7/26/1973,NA
141,1,7/29/1973,NA
142,1,7/30/1973,0
143,1,7/31/1973,0
144,1,8/1/1973,0
145,1,8/2/1973,NA
146,1,8/5/1973,0
147,1,8/6/1973,NA
148,1,8/7/1973,0
149,1,8/8/1973,0
150,1,8/9/1973,0
151,1,8/12/1973,0
152,1,8/13/1973,0
153,1,8/14/1973,0
154,1,8/15/1973,0
155,1,8/16/1973,0
156,1,8/19/1973,0
157,1,8/20/1973,0
158,1,8/21/1973,0
159,1,8/22/1973,0
160,1,8/23/1973,0
161,1,8/26/1973,0
162,1,8/27/1973,0
163,1,8/28/1973,0
164,1,8/29/1973,0
165,1,9/2/1973,NA
166,1,9/3/1973,0
167,1,9/5/1973,0
168,1,9/6/1973,0
169,1,9/9/1973,0
170,1,9/10/1973,0
171,1,9/11/1973,0
172,1,9/12/1973,0
173,1,9/13/1973,0
174,1,9/16/1973,0
175,1,9/17/1973,0.04
176,1,9/18/1973,NA
177,1,9/19/1973,0
178,1,9/20/1973,NA
179,1,9/23/1973,0
180,1,9/24/1973,NA
181,1,9/25/1973,0
182,1,9/26/1973,0
183,1,9/27/1973,0.08
184,1,9/30/1973,0
185,1,10/1/1973,0
186,1,10/2/1973,0
187,1,10/3/1973,0
188,1,10/4/1973,0
189,1,10/7/1973,0
190,1,10/8/1973,0
191,1,10/9/1973,NA
192,1,10/10/1973,NA
193,1,10/11/1973,0
194,1,10/15/1973,0.12
195,1,10/16/1973,NA
196,1,10/17/1973,NA
197,1,10/18/1973,NA
198,1,10/21/1973,0
199,1,10/22/1973,NA
200,1,10/23/1973,0
201,1,10/24/1973,0
202,1,10/25/1973,0
203,1,10/28/1973,0
204,1,10/29/1973,0
205,1,10/30/1973,0
206,1,11/7/1973,0
207,1,11/8/1973,0
208,1,11/11/1973,NA
209,1,11/12/1973,NA
210,1,11/13/1973,0
211,1,11/14/1973,NA
212,1,11/15/1973,0.02
